model,MAE,RMSE,MAPE
random_forest,1.1390119202791076,3.225078027901573,49.499303669805684
gbt,1.1610197150261798,3.254407417162248,50.66532300624542
linear_regression,1.0733905925278977,2.658028876323191,51.450892656117375
